"","VDMLR040","VDMWL101","IWRD578A","VDMLR25Q","VDMWL081","VDMWL111","WOE0002Q","VNW00071","VDMWL321","VRW00012","VNW00111","VRW00051","VRW00070","VNW00051","VNW00061","VDMLR071","VDMLR161","VDMWL121","VRW00021","VDMLR111","VRW00030","1GD0001M","1GD0002A","1GD0003B","VAL00251","VDM2W010","VDM2W020","VDM2W031","VDM2W040","VDM2W050","VDM2W071","VDM2W140","VDM2W170","VDM2W181","VDM2W210","VDM2W230","VDM2W240","VDM2W250","VDM2W260","VDM2W271","VDMG0011","VDMWL400","VDMWL442","VDMWL481","VDMWL491","VDMWL501","VDMWL52Q","VNW00011","VDML2QT1","VDMLRQT1","VDM2WQT1","ALB00031","ALB00041","ALB0005Q","VDM2W15Q","VDM2W16Q","VBA00011","VDMWL42Q","VDMWL451","IWRD532A","VDM2W33Q","VDMLR20Q","VEN_QT1","VNW00081","VNW00091","068147Z","0681520","0681570","0681600"
"VNW00111",0.598039215686274,0.568627450980392,0.508771929824561,0.65,0.661290322580645,0.669354838709677,0.545454545454545,0.58955223880597,NA,0.740384615384615,1,NA,0.669014084507042,0.605633802816901,0.683098591549296,0.626760563380282,0.556338028169014,0.619718309859155,0.661971830985915,NA,NA,0.605633802816901,0.634328358208955,0.633802816901408,NA,NA,NA,0.617647058823529,NA,0.584507042253521,0.626760563380282,NA,0.633802816901408,0.591549295774648,0.730769230769231,0.69811320754717,0.676056338028169,NA,0.56,NA,0.649253731343284,0.556338028169014,0.626760563380282,0.631147540983606,0.669117647058824,0.607843137254902,0.690140845070423,NA,0.641666666666667,0.605633802816901,0.605633802816901,NA,NA,NA,0.54,0.588235294117647,0.757575757575758,0.6484375,0.605633802816901,NA,NA,0.712121212121212,NA,NA,NA,NA,NA,NA,NA
"VRW00051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VRW00070",0.590425531914894,0.671875,0.614457831325301,0.604477611940299,0.659420289855073,0.633802816901408,0.559405940594059,0.705128205128205,NA,0.625,0.669014084507042,NA,1,0.683333333333333,0.631578947368421,0.670833333333333,0.638888888888889,0.614864864864865,0.603260869565217,NA,NA,0.664705882352941,0.60625,0.684027777777778,0.618279569892473,0.632911392405063,0.59,0.673913043478261,NA,0.693877551020408,0.636363636363636,NA,0.663636363636364,0.648760330578512,0.740384615384615,0.648648648648649,0.685897435897436,NA,0.617647058823529,NA,0.635416666666667,0.558139534883721,0.702380952380952,0.717741935483871,0.567567567567568,0.701923076923077,0.639784946236559,0.680147058823529,0.640845070422535,0.603260869565217,0.633928571428571,NA,NA,NA,0.676470588235294,0.4609375,0.674242424242424,0.597222222222222,0.613095238095238,NA,0.661290322580645,0.605,0.683206106870229,0.698924731182796,0.609756097560976,0.732142857142857,NA,NA,0.681159420289855
"VNW00051",0.572463768115942,0.6875,0.726666666666667,0.641791044776119,0.608695652173913,0.542253521126761,0.666666666666667,0.647435897435897,NA,0.759615384615385,0.605633802816901,NA,0.683333333333333,1,0.625,0.661111111111111,0.538888888888889,0.567567567567568,0.666666666666667,NA,NA,0.670588235294118,0.647058823529412,0.738888888888889,NA,0.549180327868853,0.7,0.782608695652174,NA,0.716666666666667,0.594444444444444,NA,0.644444444444444,0.6,0.576923076923077,0.591549295774648,0.705128205128205,NA,0.588235294117647,NA,0.664705882352941,0.563953488372093,0.589285714285714,0.653225806451613,0.575581395348837,0.634615384615385,0.722222222222222,0.69672131147541,0.605633802816901,0.6,0.672222222222222,NA,NA,NA,0.568627450980392,0.5234375,0.681818181818182,0.451388888888889,0.630952380952381,NA,NA,0.654761904761905,0.714285714285714,0.603448275862069,0.692307692307692,0.660714285714286,NA,NA,0.655172413793103
"VNW00061",0.636363636363636,0.627272727272727,0.647540983606557,0.6328125,0.659090909090909,0.590909090909091,0.692857142857143,0.605633802816901,NA,0.596153846153846,0.683098591549296,NA,0.631578947368421,0.625,1,0.631578947368421,0.671052631578947,0.668918918918919,0.598684210526316,NA,NA,0.625,0.633802816901408,0.572368421052632,NA,NA,0.67,0.644927536231884,NA,0.592105263157895,0.552631578947368,NA,0.572368421052632,0.625,0.778846153846154,0.710526315789474,0.730263157894737,NA,0.617647058823529,NA,0.647887323943662,0.578947368421053,0.565789473684211,0.5,0.638888888888889,0.625,0.598684210526316,NA,0.6640625,0.638157894736842,0.638157894736842,NA,NA,NA,0.53921568627451,0.590909090909091,0.689393939393939,0.617647058823529,0.638157894736842,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA
"VDMLR071",0.547872340425532,0.6953125,0.63855421686747,0.544776119402985,0.572463768115942,0.563380281690141,0.569306930693069,0.641025641025641,NA,0.644230769230769,0.626760563380282,NA,0.670833333333333,0.661111111111111,0.631578947368421,1,0.611111111111111,0.614864864864865,0.603260869565217,NA,NA,0.641176470588235,0.660869565217391,0.6625,NA,0.651898734177215,0.56,0.688405797101449,NA,0.693877551020408,0.6125,NA,0.695833333333333,0.608333333333333,0.653846153846154,0.560810810810811,0.698717948717949,NA,0.568627450980392,NA,0.583333333333333,0.593023255813953,0.619047619047619,0.741935483870968,0.554054054054054,0.615384615384615,0.661290322580645,0.642857142857143,0.542253521126761,0.581521739130435,0.651785714285714,NA,NA,NA,0.627450980392157,0.578125,0.75,0.611111111111111,0.553571428571429,NA,0.717391304347826,0.605,0.697674418604651,0.579545454545455,0.670731707317073,0.633928571428571,NA,NA,0.601449275362319
"VDMLR161",0.637931034482759,0.625,0.566265060240964,0.619402985074627,0.644927536231884,0.563380281690141,0.618811881188119,0.58974358974359,NA,0.538461538461538,0.556338028169014,NA,0.638888888888889,0.538888888888889,0.671052631578947,0.611111111111111,1,0.601351351351351,0.635869565217391,NA,NA,0.629411764705882,0.558252427184466,0.592592592592593,NA,0.645569620253165,0.69,0.485507246376812,NA,0.540816326530612,0.634259259259259,NA,0.62037037037037,0.634259259259259,0.644230769230769,0.716216216216216,0.57051282051282,NA,0.696078431372549,NA,0.645833333333333,0.662790697674419,0.654761904761905,0.467741935483871,0.668269230769231,0.605769230769231,0.553763440860215,0.727848101265823,0.570422535211268,0.690217391304348,0.694444444444444,NA,NA,NA,0.656862745098039,0.6796875,0.583333333333333,0.666666666666667,0.553571428571429,NA,0.710526315789474,0.615,0.662162162162162,0.657894736842105,0.728571428571429,0.678571428571429,NA,NA,0.72463768115942
"VDMWL121",0.481132075471698,0.679245283018868,0.525423728813559,0.612903225806452,0.65625,0.6640625,0.573529411764706,0.688405797101449,NA,0.625,0.619718309859155,NA,0.614864864864865,0.567567567567568,0.668918918918919,0.614864864864865,0.601351351351351,1,0.653333333333333,NA,NA,0.6,0.543478260869565,0.56,NA,NA,0.7,0.681159420289855,NA,0.614864864864865,0.52027027027027,NA,0.581081081081081,0.527027027027027,0.673076923076923,0.618181818181818,0.702702702702703,NA,0.666666666666667,NA,0.644927536231884,0.58,0.682432432432432,0.595238095238095,0.607142857142857,0.679245283018868,0.626666666666667,NA,0.57258064516129,0.648648648648649,0.567567567567568,NA,NA,NA,0.705882352941176,0.584905660377358,0.712121212121212,0.643939393939394,0.666666666666667,NA,NA,0.602941176470588,NA,NA,NA,NA,NA,NA,NA
"VRW00021",0.591549295774648,0.6328125,0.623376623376623,0.723880597014925,0.681159420289855,0.514084507042254,0.627906976744186,0.647435897435897,NA,0.653846153846154,0.661971830985915,NA,0.603260869565217,0.666666666666667,0.598684210526316,0.603260869565217,0.635869565217391,0.653333333333333,1,NA,NA,0.593023255813953,0.632183908045977,0.704301075268817,NA,0.523809523809524,0.63,0.608695652173913,NA,0.527173913043478,0.625,NA,0.608695652173913,0.565217391304348,0.586538461538462,0.623287671232877,0.576923076923077,NA,0.656862745098039,NA,0.626436781609195,0.580459770114943,0.68452380952381,0.626984126984127,0.636363636363636,0.556603773584906,0.623655913978495,0.603174603174603,0.598591549295775,0.576086956521739,0.635869565217391,NA,NA,NA,0.558823529411765,0.59375,0.636363636363636,0.576388888888889,0.564705882352941,NA,NA,0.604651162790698,0.612068965517241,0.641666666666667,0.62037037037037,0.651785714285714,NA,NA,0.591666666666667
"VDMLR111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
