"","VDMLR040","VDMWL101","IWRD578A","VDMLR25Q","VDMWL081","VDMWL111","WOE0002Q","VNW00071","VDMWL321","VRW00012","VNW00111","VRW00051","VRW00070","VNW00051","VNW00061","VDMLR071","VDMLR161","VDMWL121","VRW00021","VDMLR111","VRW00030","1GD0001M","1GD0002A","1GD0003B","VAL00251","VDM2W010","VDM2W020","VDM2W031","VDM2W040","VDM2W050","VDM2W071","VDM2W140","VDM2W170","VDM2W181","VDM2W210","VDM2W230","VDM2W240","VDM2W250","VDM2W260","VDM2W271","VDMG0011","VDMWL400","VDMWL442","VDMWL481","VDMWL491","VDMWL501","VDMWL52Q","VNW00011","VDML2QT1","VDMLRQT1","VDM2WQT1","ALB00031","ALB00041","ALB0005Q","VDM2W15Q","VDM2W16Q","VBA00011","VDMWL42Q","VDMWL451","IWRD532A","VDM2W33Q","VDMLR20Q","VEN_QT1","VNW00081","VNW00091","068147Z","0681520","0681570","0681600"
"VNW00111",0.0196078431372549,0,0,0,0,0.0161290322580645,0,0.0149253731343284,NA,0.0192307692307692,0,NA,0.0422535211267606,0,0.0140845070422535,0.0140845070422535,0.0140845070422535,0,0.028169014084507,NA,NA,0.028169014084507,0.0447761194029851,0,NA,NA,NA,0,NA,0.0140845070422535,0.0140845070422535,NA,0,0.028169014084507,0,0,0,NA,0,NA,0.0149253731343284,0.0422535211267606,0.0704225352112676,0.0163934426229508,0.0147058823529412,0,0,NA,0.0166666666666667,0,0.0563380281690141,NA,NA,NA,0.04,0,0,0.046875,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"VRW00051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VRW00070",0.0319148936170213,0.03125,0.0481927710843374,0.0447761194029851,0.0434782608695652,0.0563380281690141,0.0297029702970297,0.0512820512820513,NA,0.0576923076923077,0.0422535211267606,NA,0,0.0333333333333333,0.0526315789473684,0.0416666666666667,0.037037037037037,0.0405405405405405,0.0543478260869565,NA,NA,0.0352941176470588,0.075,0.0347222222222222,0.010752688172043,0.0506329113924051,0.02,0.0434782608695652,NA,0.0408163265306122,0.0484848484848485,NA,0.0303030303030303,0.0413223140495868,0.0192307692307692,0.027027027027027,0.0384615384615385,NA,0.0196078431372549,NA,0.0416666666666667,0.0697674418604651,0.0952380952380952,0.0483870967741935,0.0540540540540541,0.0192307692307692,0.032258064516129,0.0220588235294118,0.0704225352112676,0.0326086956521739,0.0535714285714286,NA,NA,NA,0.0588235294117647,0.046875,0.0454545454545455,0.0833333333333333,0.0357142857142857,NA,0.0537634408602151,0.03,0.0381679389312977,0.021505376344086,0.024390243902439,0.0714285714285714,NA,NA,0.0289855072463768
"VNW00051",0.0144927536231884,0,0.0133333333333333,0,0,0.0140845070422535,0,0.0128205128205128,NA,0.0192307692307692,0,NA,0.0333333333333333,0,0.0131578947368421,0.0111111111111111,0.0111111111111111,0,0.0222222222222222,NA,NA,0.0235294117647059,0.0470588235294118,0.0111111111111111,NA,0.0163934426229508,0,0,NA,0.0111111111111111,0.0333333333333333,NA,0,0.0222222222222222,0,0,0,NA,0,NA,0.0117647058823529,0.0348837209302326,0.0595238095238095,0.0161290322580645,0.0116279069767442,0,0,0.0163934426229508,0.028169014084507,0,0.0555555555555556,NA,NA,NA,0.0392156862745098,0.015625,0,0.0416666666666667,0,NA,NA,0,0.0357142857142857,0,0,0.0357142857142857,NA,NA,0
"VNW00061",0.0363636363636364,0.0181818181818182,0.0163934426229508,0.015625,0.0151515151515152,0.0303030303030303,0.0142857142857143,0.028169014084507,NA,0.0384615384615385,0.0140845070422535,NA,0.0526315789473684,0.0131578947368421,0,0.0263157894736842,0.0263157894736842,0.0135135135135135,0.0394736842105263,NA,NA,0.0394736842105263,0.028169014084507,0.0131578947368421,NA,NA,0.02,0.0144927536231884,NA,0.0263157894736842,0.0263157894736842,NA,0.0131578947368421,0.0394736842105263,0.0192307692307692,0.0175438596491228,0.0131578947368421,NA,0.0196078431372549,NA,0.028169014084507,0.0526315789473684,0.0789473684210526,0.032258064516129,0.0277777777777778,0.0192307692307692,0.0131578947368421,NA,0.046875,0.0131578947368421,0.0657894736842105,NA,NA,NA,0.0588235294117647,0.0181818181818182,0.0151515151515152,0.0588235294117647,0.0131578947368421,NA,NA,0.0142857142857143,NA,NA,NA,NA,NA,NA,NA
"VDMLR071",0.0319148936170213,0.015625,0.0240963855421687,0.0149253731343284,0.0144927536231884,0.028169014084507,0.0099009900990099,0.0256410256410256,NA,0.0192307692307692,0.0140845070422535,NA,0.0416666666666667,0.0111111111111111,0.0263157894736842,0,0.0185185185185185,0.0135135135135135,0.0326086956521739,NA,NA,0.0352941176470588,0.0695652173913043,0.025,NA,0.0379746835443038,0,0.0144927536231884,NA,0,0.0583333333333333,NA,0.025,0.0333333333333333,0,0.0135135135135135,0.0128205128205128,NA,0,NA,0.0208333333333333,0.0465116279069767,0.0714285714285714,0,0.045045045045045,0,0.010752688172043,0.032967032967033,0.0422535211267606,0.0108695652173913,0.0357142857142857,NA,NA,NA,0.0392156862745098,0.03125,0.0151515151515152,0.0555555555555556,0.0119047619047619,NA,0.072463768115942,0.01,0.0465116279069767,0.0227272727272727,0.024390243902439,0.0535714285714286,NA,NA,0.0144927536231884
"VDMLR161",0.0114942528735632,0,0.0240963855421687,0.0149253731343284,0.0144927536231884,0.028169014084507,0.0099009900990099,0.0256410256410256,NA,0.0384615384615385,0.0140845070422535,NA,0.037037037037037,0.0111111111111111,0.0263157894736842,0.0185185185185185,0,0.0135135135135135,0.0326086956521739,NA,NA,0.0352941176470588,0.0485436893203883,0.0185185185185185,NA,0.0253164556962025,0.02,0.0144927536231884,NA,0.0204081632653061,0.0462962962962963,NA,0.0185185185185185,0.00925925925925926,0.0192307692307692,0,0.0128205128205128,NA,0.0196078431372549,NA,0.0208333333333333,0.0232558139534884,0.0714285714285714,0.032258064516129,0.00961538461538462,0.0192307692307692,0.010752688172043,0.0126582278481013,0.0422535211267606,0.0108695652173913,0.0555555555555556,NA,NA,NA,0.0588235294117647,0.015625,0.0151515151515152,0.0555555555555556,0.0119047619047619,NA,0.0526315789473684,0.01,0.027027027027027,0,0,0.0357142857142857,NA,NA,0
"VDMWL121",0.0188679245283019,0,0,0,0,0.015625,0,0.0144927536231884,NA,0.0192307692307692,0,NA,0.0405405405405405,0,0.0135135135135135,0.0135135135135135,0.0135135135135135,0,0.0266666666666667,NA,NA,0.0266666666666667,0.0434782608695652,0,NA,NA,0,0,NA,0.0135135135135135,0.0135135135135135,NA,0,0.027027027027027,0,0,0,NA,0,NA,0.0144927536231884,0.04,0.0675675675675676,0.0158730158730159,0.0142857142857143,0,0,NA,0.0161290322580645,0,0.0540540540540541,NA,NA,NA,0.0392156862745098,0,0,0.0454545454545455,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"VRW00021",0.028169014084507,0.015625,0.025974025974026,0.0149253731343284,0.0289855072463768,0.0422535211267606,0.0232558139534884,0.0384615384615385,NA,0.0384615384615385,0.028169014084507,NA,0.0543478260869565,0.0222222222222222,0.0394736842105263,0.0326086956521739,0.0326086956521739,0.0266666666666667,0,NA,NA,0.0465116279069767,0.0689655172413793,0.032258064516129,NA,0.0317460317460317,0.02,0.0289855072463768,NA,0.0326086956521739,0.0543478260869565,NA,0.0217391304347826,0.0434782608695652,0.0192307692307692,0.0136986301369863,0.0256410256410256,NA,0.0196078431372549,NA,0.0344827586206897,0.0574712643678161,0.0833333333333333,0.0476190476190476,0.0454545454545455,0.0188679245283019,0.021505376344086,0.0317460317460317,0.0422535211267606,0.0217391304347826,0.0760869565217391,NA,NA,NA,0.0588235294117647,0.03125,0.0303030303030303,0.0694444444444444,0.0235294117647059,NA,NA,0.0232558139534884,0.0517241379310345,0.0166666666666667,0.0185185185185185,0.0535714285714286,NA,NA,0.0166666666666667
"VDMLR111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
