"","-100.-77","-88.-65","-76.-53","-64.-41","-52.-29","-40.-17","-28.-5","-16.7","-4.19","8.31","20.43","32.55","44.67","56.79","68.91","80.103","92.115"
"VDM2W240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.631128376143298,0.719723242205774,0.599223580478656,0.451226725027554
"VDM2W250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.301990775550821
"VDM2W260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.516137891440292,0.61611439068357
"VDM2W271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.533059737037746,0.471910242445981
"VDMG0011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.554440941821331,0.563118622407928,0.630978277159683,0.636802214102385,0.658119254578511,0.635868464502217
"VDMWL400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.573945501787667,0.403273053433578,0.765133322172371,0.669203789678043,0.413773023939667
"VDMWL442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.638857111231144,0.630329301171171,0.659256183121242,0.557977435537586,0.476365813791084
"VDMWL481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.685743963702991,0.457881495275861,0.101181750793345
"VDMWL491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.633593862095777,0.595371530165542,0.639552413136825,0.711297654305548,0.59032616574283,0.43806996149803,0.522807044097159
"VDMWL501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555394408077234,0.59760872112444
"VDMWL52Q",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.237910372702863,0.154117242612682,0.288031601941567,0.473637209565944,0.548078121675425,0.616477579919022
"VNW00011",NA,0.59404374120283,0.562104015920438,0.746100887232962,0.893436283115635,0.812031221972602,0.592219554113939,0.444640968058002,0.280554001640415,0.462974873617133,0.711885526489686,0.687249795486908,0.52022346620809,0.377013193874113,0.670761363658903,NA,NA
"VDML2QT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.708454463954666,0.621327496110843,0.385850388567209,0.244672550678571,NA
"VDMLRQT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.511028984551903,0.363176613054832,0.484157489239074,0.400373703574559,0.45101001821762,0.692475562909448
"VDM2WQT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.725455883933036,0.767847472330324,0.716664023579389,0.812945307472475,0.679767135941792,0.57313247399211,0.64774372593918
"ALB00031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.592784685776454,0.605746793083251
"ALB00041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.727157576089246
"ALB0005Q",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.641567754464873
"VDM2W15Q",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444592201816105,0.460735541779814
"VDM2W16Q",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00898893998744445,0.52434913973622,0.439180513364414,NA,NA
"VBA00011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.776247752023888,0.748061854415795,0.6764081259141
"VDMWL42Q",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.522786661490261,0.53092363318673,0.37695954570684,0.560016215176617
"VDMWL451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141496922958248,0.425066814875166,0.69612498718141,0.670561360619422,0.426615518708156
"IWRD532A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.338886386120856,NA,NA,NA
"VDM2W33Q",NA,NA,NA,NA,NA,NA,NA,0.678818202713786,0.557774569949907,0.419836541822097,0.640503405747662,0.708336265922604,0.683082062745316,NA,NA,NA,NA
"VDMLR20Q",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.583439398270026,0.586690893388334,0.623287838810749,0.557667331011795,0.652762135400934,0.524371669651789,0.389193686948677
"VEN_QT1",NA,NA,0.257053273736847,0.401718088447152,0.546957462625281,0.666912803099177,0.55010328830023,0.649789112815138,0.767620212295866,0.589119712600417,0.643801169652911,0.741341852825773,0.703354511310882,0.754304489352136,NA,NA,NA
"VNW00081",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.337505960358529,0.256448704360665,0.602355258657385,0.455620427482676,0.351474375493356,0.475584518578914,NA,NA
"VNW00091",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.450911261093748,0.706138722971961,0.714358617335645,0.76239573623198,0.596007078173993,NA,NA,NA
"068147Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.311297913828482,0.708340036738389,0.751330692672448,NA,NA
"0681520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627841187158749,0.751895185124795,NA,NA
"0681570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.429811544728666,0.72295854668744,NA,NA,NA
"0681600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.554682170377464,0.36875012159545,0.689614274774559,0.823490068457659,NA,NA
